# Событие -> картинка новости (GFX из interface/GLP_eventpictures.gfx). Сверяет tools/glp_audit.py.
glp_news.100	GFX_news_event_GLP_intro
glp_news.1	GFX_news_event_GLP_rebirth
glp_news.2	GFX_news_event_GLP_anarchist_congress
glp_news.3	GFX_news_event_GLP_tachanka
glp_news.4	GFX_news_event_GLP_madrid_international
glp_news.5	GFX_news_event_GLP_alliance_treaty
glp_news.6	GFX_news_event_GLP_triumph
glp_news.7	GFX_news_event_GLP_volunteers_arrival
glp.10	GFX_news_event_GLP_madrid_international
glp.11	GFX_news_event_GLP_tachanka
glp.12	GFX_news_event_GLP_dnieper_electric
glp.13	GFX_news_event_GLP_donbass_syndicates
glp.14	GFX_news_event_GLP_armored_train
glp.15	GFX_news_event_GLP_autumn_fair
glp.16	GFX_news_event_GLP_sevastopol_fleet
glp.17	GFX_news_event_GLP_makhno_inspection
glp.18	GFX_news_event_GLP_peasant_communes
glp.19	GFX_news_event_GLP_radio_tower
glp.20	GFX_news_event_GLP_war_council
glp.21	GFX_news_event_GLP_counter_intel
glp.22	GFX_news_event_GLP_air_squadron
glp.23	GFX_news_event_GLP_anarchist_congress
glp.24	GFX_news_event_GLP_triumph
glp.1	GFX_news_event_GLP_war_council
glp.2	GFX_news_event_GLP_anarchist_congress
glp.3	GFX_news_event_GLP_volunteers_arrival
glp_press.1	GFX_news_event_GLP_armored_train
glp_press.2	GFX_news_event_GLP_dnieper_electric
glp_press.3	GFX_news_event_GLP_cavalry_raid
glp_press.4	GFX_news_event_GLP_anarchist_congress
glp_press.5	GFX_news_event_GLP_black_guard_march
glp_press.6	GFX_news_event_GLP_donbass_syndicates
glp_press.7	GFX_news_event_GLP_counter_intel
glp_press.8	GFX_news_event_GLP_peasant_communes
glp_press.9	GFX_news_event_GLP_radio_tower
glp_press.10	GFX_news_event_GLP_madrid_international
glp_trophy.1	GFX_news_event_GLP_cavalry_raid
glp_white.1	GFX_news_event_GLP_volunteers_arrival
glp_crisis.50	GFX_news_event_GLP_black_rada
glp_crisis.51	GFX_news_event_GLP_black_rada
glp_crisis.52	GFX_news_event_GLP_black_rada
