# GLP focus -> vanilla BASE-GAME focus icon mapping (v2, по каталогу
# https://wyandotte.github.io/hoi4-icon-search/ ).
# Каждый спрайт проверен по ванильному interface/goals.gfx:
#   * дамп 1.7.1 "Hydra" (41 GFX_focus_generic_* + 70 GFX_goal_generic_*)
#   * дамп 1.14.10 (299 GFX_focus_generic_* + GFX_focus_rocketry)
# Paradox не удаляет имена спрайтов, поэтому всё перечисленное
# гарантированно есть в базовой игре 1.19 без каких-либо DLC.
# Формат: focus_id<TAB>icon
GLP_insurgent_army_reorganization	GFX_goal_generic_army_doctrines
GLP_underground_armories	GFX_goal_generic_small_arms
GLP_partisan_warfare_doctrine	GFX_focus_generic_forest_brothers
GLP_legendary_tachankas	GFX_goal_generic_cavalry
GLP_black_banner_vanguard	GFX_focus_generic_red_flags
GLP_steppe_lightning	GFX_goal_generic_army_motorized
GLP_anti_tank_cavalry	GFX_focus_generic_anti_tank_guns
GLP_armored_train_production	GFX_focus_generic_railway_gun
GLP_rapid_rail_deployment	GFX_focus_generic_supply_line
GLP_cossack_sabre_tactics	GFX_goal_generic_cavalry
GLP_steel_ram_tactics	GFX_focus_generic_tank_assault
GLP_invincible_insurgency	GFX_goal_generic_defence
GLP_syndicate_industrial_planning	GFX_focus_generic_workers
GLP_empower_the_communes	GFX_focus_generic_workers_and_farmers_rise
GLP_donbass_coal_and_steel_collective	GFX_focus_generic_coal_mining
GLP_dnieper_hydroelectric_freedom	GFX_focus_generic_hydroelectric_energy
GLP_revvoensovet_industry_coordination	GFX_focus_generic_military_industry
GLP_decentralized_workshop_network	GFX_focus_generic_mass_production
GLP_libertarian_railway_network	GFX_focus_generic_railroad
GLP_revvoensovet_armored_command	GFX_goal_generic_army_tanks
GLP_black_sea_shipyards_refit	GFX_focus_generic_refit_civilian_ships
GLP_scientific_communes_academies	GFX_focus_generic_socialist_science
GLP_autonomous_industrial_bastion	GFX_focus_generic_industry_2
GLP_kontrrazvedka_reorganization	GFX_goal_generic_intelligence_exchange
GLP_purging_white_remnants	GFX_focus_generic_strike_at_democracy2
GLP_vigilance_against_cheka_infiltrators	GFX_focus_generic_infiltration
GLP_libertarian_civil_courts	GFX_focus_generic_court
GLP_decree_on_black_terror	GFX_focus_generic_conspiracy
GLP_zadov_intelligence_network	GFX_focus_generic_secret_service_agency
GLP_expansion_of_iron_fist	GFX_goal_generic_political_pressure
GLP_peoples_militia_patrols	GFX_goal_generic_defence
GLP_unshakeable_revolutionary_order	GFX_focus_generic_national_security
GLP_international_diplomacy_crossroads	GFX_goal_generic_improve_relations
GLP_alliance_with_soviet_union	GFX_focus_generic_join_comintern
GLP_alliance_with_germany	GFX_goal_generic_alliance
GLP_alliance_with_britain	GFX_goal_generic_major_alliance
GLP_soviet_armaments_lend_lease	GFX_goal_generic_military_deal
GLP_krupp_arms_shipments	GFX_focus_generic_license_production
GLP_vickers_armaments_lend_lease	GFX_goal_generic_military_deal
GLP_joint_red_black_military_academy	GFX_focus_generic_military_academy
GLP_wehrmacht_tactical_instructors	GFX_focus_generic_military_mission
GLP_sevastopol_naval_refit_with_royal_navy	GFX_focus_generic_naval_discipline
GLP_eurasian_red_black_vanguard	GFX_focus_generic_red_flags
GLP_black_cross_of_the_steppes	GFX_goal_generic_improve_relations
GLP_bastion_of_free_nations	GFX_goal_generic_fortify_city
GLP_free_will	GFX_goal_generic_neutrality_focus
GLP_old_enemies_unite	GFX_focus_generic_little_entente
GLP_international_brigades	GFX_goal_generic_allies_build_infantry
GLP_black_cross_aid	GFX_focus_generic_welfare
GLP_makhno_myth	GFX_focus_generic_printing_press
GLP_peasant_grain_supplies	GFX_focus_generic_farmland
GLP_bread_for_cities_and_front	GFX_focus_generic_welfare
GLP_communal_granaries	GFX_focus_generic_agricultural_subsidies
GLP_tractor_stations_for_communes	GFX_focus_generic_mechanized
GLP_land_to_the_tillers_decree	GFX_focus_generic_land_reclamation
GLP_free_libertarian_schools	GFX_focus_generic_university_3
GLP_rural_healthcare_network	GFX_focus_generic_field_hostpital
GLP_steppes_breadbasket	GFX_focus_generic_farmland
GLP_peasant_intellectual_harmony	GFX_goal_generic_national_unity
GLP_flourishing_free_countryside	GFX_focus_generic_public_works
GLP_fourth_congress_of_peasants	GFX_focus_generic_workers_and_farmers_rise
GLP_federation_of_free_soviets	GFX_focus_generic_self_management
GLP_black_military_dictatorship	GFX_focus_generic_military_dictatorship
GLP_black_international	GFX_goal_generic_major_alliance
GLP_total_militarization_of_communes	GFX_focus_generic_full_social_mobilization
GLP_aid_to_spanish_anarchists	GFX_focus_generic_invite_republican_spanish_exiles
GLP_black_crescent_of_the_steppes	GFX_focus_generic_welfare
GLP_anti_state_continental_crusade	GFX_goal_generic_major_war
GLP_declaration_of_world_anarchy	GFX_focus_generic_strike_at_democracy3
GLP_triumph_of_free_humanity	GFX_focus_generic_the_giant_wakes
GLP_sevastopol_naval_base	GFX_goal_generic_occupy_states_coastal
GLP_revolutionary_destroyers	GFX_focus_generic_destroyer
GLP_submarine_flotilla	GFX_goal_generic_navy_submarine
GLP_naval_infantry_marines	GFX_focus_generic_naval_invasion
GLP_coastal_defense_batteries	GFX_focus_generic_coastal_fort
GLP_black_sea_dominance	GFX_focus_generic_black_sea_focus
GLP_merchant_raider_fleet	GFX_focus_generic_merchant_fleet
GLP_naval_aviation	GFX_goal_generic_air_naval_bomber
GLP_glory_of_the_sea	GFX_goal_generic_navy_battleship
GLP_steppe_air_corps	GFX_goal_generic_build_airforce
GLP_fighter_squadrons	GFX_goal_generic_air_fighter
GLP_bomber_wings	GFX_goal_generic_air_bomber
GLP_air_reconnaissance	GFX_goal_generic_radar
GLP_anti_air_defense	GFX_focus_generic_air_defense
GLP_air_superiority_doctrine	GFX_goal_generic_air_fighter2
GLP_ground_attack_planes	GFX_goal_generic_CAS
GLP_strategic_bombing	GFX_goal_generic_air_bomber
GLP_mastery_of_the_skies	GFX_goal_generic_air_doctrine
GLP_captured_equipment_study	GFX_focus_generic_license_production
GLP_radio_technology	GFX_focus_generic_radio_communication
GLP_improved_weapons	GFX_goal_generic_small_arms
GLP_armor_research	GFX_goal_generic_build_tank
GLP_advanced_metallurgy	GFX_focus_generic_steel
GLP_rocket_science	GFX_focus_rocketry
GLP_computing_machines	GFX_focus_generic_cryptologic_bomb
GLP_jet_engines	GFX_focus_generic_jet_planes
GLP_technological_supremacy	GFX_goal_generic_scientific_exchange
GLP_free_universities	GFX_focus_generic_university_1
GLP_worker_faculties	GFX_focus_generic_university_2
GLP_revolutionary_theater	GFX_goal_generic_propaganda
GLP_cinema_propaganda	GFX_focus_generic_printing_press
GLP_literacy_campaign	GFX_focus_generic_printing_press
GLP_sports_militarization	GFX_focus_generic_military_academy
GLP_philosophy_of_freedom	GFX_goal_generic_neutrality_focus
GLP_cultural_enlightenment	GFX_focus_generic_welfare
GLP_new_soviet_culture	GFX_focus_generic_self_management
GLP_underground_railway	GFX_focus_generic_railroad
GLP_safe_houses_network	GFX_focus_generic_conspiracy
GLP_coded_communications	GFX_focus_generic_radio_communication
GLP_sabotage_training	GFX_goal_generic_special_forces
GLP_partisan_cells	GFX_focus_generic_forest_brothers
GLP_weapon_caches	GFX_goal_generic_small_arms
GLP_double_agents	GFX_focus_generic_whispers
GLP_resistance_coordination	GFX_goal_generic_position_armies
GLP_underground_state	GFX_goal_generic_national_unity
GLP_self_sufficient_economy	GFX_focus_generic_resource_extraction
GLP_local_mining_operations	GFX_focus_generic_mining_industry
