# GLP focus -> in-game focus-search chips (HOI4 1.19).
#
# `search_filters` in common/national_focus/GLP_focus.txt must match this
# table exactly -- tools/glp_audit.py enforces it, so a newly added focus
# cannot silently drop out of the focus search panel.
#
# Only the seven GENERIC vanilla tokens are used; the country/DLC-specific
# ones (CHI_INFLATION, USA_CONGRESS, TFV_AUTONOMY, MEX_*, SPA_*, FRA_*)
# belong to other nations' UI and would render a meaningless chip here.
#
# Regenerate with:  tools/assign_focus_filters.py --write-tsv
# Apply to the tree: tools/assign_focus_filters.py --apply
#
# focus_id	FOCUS_FILTER_*
GLP_insurgent_army_reorganization	FOCUS_FILTER_MANPOWER
GLP_underground_armories	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_MANPOWER
GLP_partisan_warfare_doctrine	FOCUS_FILTER_MANPOWER
GLP_legendary_tachankas	FOCUS_FILTER_MANPOWER
GLP_black_banner_vanguard	FOCUS_FILTER_POLITICAL FOCUS_FILTER_WAR_SUPPORT
GLP_steppe_lightning	FOCUS_FILTER_RESEARCH FOCUS_FILTER_MANPOWER
GLP_anti_tank_cavalry	FOCUS_FILTER_RESEARCH FOCUS_FILTER_MANPOWER
GLP_armored_train_production	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_MANPOWER
GLP_rapid_rail_deployment	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_MANPOWER
GLP_cossack_sabre_tactics	FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_steel_ram_tactics	FOCUS_FILTER_RESEARCH FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_invincible_insurgency	FOCUS_FILTER_MANPOWER
GLP_syndicate_industrial_planning	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_empower_the_communes	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_donbass_coal_and_steel_collective	FOCUS_FILTER_INDUSTRY
GLP_dnieper_hydroelectric_freedom	FOCUS_FILTER_INDUSTRY
GLP_revvoensovet_industry_coordination	FOCUS_FILTER_INDUSTRY
GLP_decentralized_workshop_network	FOCUS_FILTER_INDUSTRY
GLP_libertarian_railway_network	FOCUS_FILTER_INDUSTRY
GLP_revvoensovet_armored_command	FOCUS_FILTER_RESEARCH FOCUS_FILTER_MANPOWER
GLP_black_sea_shipyards_refit	FOCUS_FILTER_INDUSTRY
GLP_scientific_communes_academies	FOCUS_FILTER_RESEARCH
GLP_autonomous_industrial_bastion	FOCUS_FILTER_INDUSTRY
GLP_kontrrazvedka_reorganization	FOCUS_FILTER_POLITICAL FOCUS_FILTER_RESEARCH
GLP_purging_white_remnants	FOCUS_FILTER_STABILITY FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_vigilance_against_cheka_infiltrators	FOCUS_FILTER_POLITICAL
GLP_libertarian_civil_courts	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY
GLP_decree_on_black_terror	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_zadov_intelligence_network	FOCUS_FILTER_POLITICAL
GLP_expansion_of_iron_fist	FOCUS_FILTER_POLITICAL FOCUS_FILTER_WAR_SUPPORT
GLP_peoples_militia_patrols	FOCUS_FILTER_MANPOWER
GLP_unshakeable_revolutionary_order	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY FOCUS_FILTER_WAR_SUPPORT
GLP_international_diplomacy_crossroads	FOCUS_FILTER_POLITICAL
GLP_alliance_with_soviet_union	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY
GLP_alliance_with_germany	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY
GLP_alliance_with_britain	FOCUS_FILTER_POLITICAL
GLP_soviet_armaments_lend_lease	FOCUS_FILTER_POLITICAL FOCUS_FILTER_MANPOWER
GLP_krupp_arms_shipments	FOCUS_FILTER_POLITICAL FOCUS_FILTER_INDUSTRY
GLP_vickers_armaments_lend_lease	FOCUS_FILTER_POLITICAL FOCUS_FILTER_MANPOWER
