idea	picture
GLP_anglo_free_bastion	generic_infantry_bonus
GLP_aragon_collective_model	SPR_collectivized_society
GLP_black_guard_legacy	SPR_anarchist_society
GLP_black_international_member	generic_volunteer_expedition_bonus
GLP_black_sea_admiralty	generic_navy_bonus
GLP_british_sterling_credits	generic_foreign_capital
GLP_british_trade_union_solidarity	generic_volunteer_expedition_bonus
GLP_equal_soviet_partnership	generic_navy_bonus
GLP_eurasian_red_black_vanguard	generic_morale_bonus
GLP_free_syndicates_and_soviets	generic_communism_drift_bonus
GLP_german_anarchist_cadres	SPR_anarchist_society
GLP_german_axis_synergy	generic_morale_bonus
GLP_hostile_encirclement	generic_disjointed_gov
GLP_idea_agent_networks	generic_morale_bonus
GLP_idea_air_mastery	generic_air_bonus
GLP_idea_air_recon	generic_secret_police
GLP_idea_anti_cheka_vigilance	generic_morale_bonus
GLP_idea_anti_tank_cavalry	generic_acquire_tanks
GLP_idea_armored_train_production	generic_acquire_tanks
GLP_idea_autarkic_paradise	generic_production_bonus
GLP_idea_autarky	generic_production_bonus
GLP_idea_autonomous_industrial_bastion	generic_infantry_bonus
GLP_idea_behind_lines	generic_morale_bonus
GLP_idea_black_avalanche	SPR_class_war
GLP_idea_black_crescent	generic_manpower_bonus
GLP_idea_black_cross_aid	generic_morale_bonus
GLP_idea_black_international	generic_volunteer_expedition_bonus
GLP_idea_black_sea_dominance	generic_navy_bonus
GLP_idea_black_terror	generic_disjointed_gov
GLP_idea_border_security	generic_secret_police
GLP_idea_bread_for_front	generic_morale_bonus
GLP_idea_breadbasket	generic_agrarian_reform
GLP_idea_catalan_wolfram_syndicate_workshops	generic_production_bonus
GLP_idea_cinema_propaganda	SPR_masters_of_our_own_fate
GLP_idea_coded_comms	generic_morale_bonus
GLP_idea_collective_farming	generic_agrarian_reform
GLP_idea_combined_arms	generic_morale_bonus
GLP_idea_commando_raids	generic_morale_bonus
GLP_idea_communes_empowerment	SPR_anarchist_society
GLP_idea_continental_crusade	SPR_class_war
GLP_idea_cossack_divisions	generic_morale_bonus
GLP_idea_cossack_glory	generic_morale_bonus
GLP_idea_cossack_heritage	generic_morale_bonus
GLP_idea_cossack_legacy	generic_morale_bonus
GLP_idea_cossack_officers	generic_morale_bonus
GLP_idea_cossack_traditions	generic_morale_bonus
GLP_idea_counter_espionage	generic_secret_police
GLP_idea_cryptanalysis	generic_morale_bonus
GLP_idea_cultural_enlightenment	generic_morale_bonus
GLP_idea_decentralized_workshops	generic_production_bonus
GLP_idea_defense_in_depth	generic_infantry_bonus
GLP_idea_disinformation	generic_morale_bonus
GLP_idea_dnieper_hydroelectric	generic_production_bonus
GLP_idea_double_agents	generic_morale_bonus
GLP_idea_economic_independence	generic_production_bonus
GLP_idea_economic_miracle	generic_production_bonus
GLP_idea_elite_guard	generic_morale_bonus
GLP_idea_factory_committees	generic_production_bonus
GLP_idea_federation_of_free_soviets	generic_communism_drift_bonus
GLP_idea_female_combat	generic_morale_bonus
GLP_idea_field_hospitals	generic_manpower_bonus
GLP_idea_food_processing	generic_agrarian_reform
GLP_idea_free_will	SPR_anarchist_society
GLP_idea_frontline_recon	generic_secret_police
GLP_idea_full_employment	generic_communism_drift_bonus
GLP_idea_gender_equality	SPR_masters_of_our_own_fate
GLP_idea_global_network	generic_morale_bonus
GLP_idea_glory_of_the_sea	generic_navy_bonus
GLP_idea_horse_breeding	generic_morale_bonus
GLP_idea_hospital_trains	generic_manpower_bonus
GLP_idea_impregnable_intel	generic_secret_police
GLP_idea_industrial_powerhouse	generic_production_bonus
GLP_idea_insurgent_army	generic_morale_bonus
GLP_idea_internal_security	generic_secret_police
GLP_idea_international_brigades	generic_volunteer_expedition_bonus
GLP_idea_invincible_insurgency	SPR_class_war
GLP_idea_isolated_resistance	generic_morale_bonus
GLP_idea_kontrrazvedka_surveillance	generic_secret_police
GLP_idea_land_to_tillers	generic_agrarian_reform
GLP_idea_legendary_tachankas	generic_morale_bonus
